Date,Time,Title,Location,Description,Formats,Topics,Audience,Skill Level,Speakers
"July 09, 2024",11:35AM - 12:20PM,FEATURED BREAKOUT: Quality by Design: How to Support and Scale Quality Online Learning via LMS Design Templates,206 EF,"<p><span data-contrast=""none"">Research shows that LMS templates that infuse good navigation, organization, and learning components into the course design can show positive impacts for everything from student engagement to retention. In this session, we'll walk you through the ""what, why, and how"" of creating an LMS template embedded with institutional or organizational quality standards. Additionally, we'll discuss recent data from a national survey project that sheds light on institutional use of LMS templates, as well as a targeted data collection and analysis plan to determine and showcase the benefits of this scalable support tool.</span><span data-ccp-props=""{&quot;134233117&quot;:false,&quot;134233118&quot;:false,&quot;201341983&quot;:0,&quot;335559739&quot;:0,&quot;335559740&quot;:240}"">&nbsp;</span></p><p><span data-contrast=""auto"">&#8239;</span><span data-ccp-props=""{&quot;134233117&quot;:false,&quot;134233118&quot;:false,&quot;201341983&quot;:0,&quot;335559738&quot;:0,&quot;335559739&quot;:0,&quot;335559740&quot;:240}"">&nbsp;</span></p><p><span data-ccp-props=""{&quot;201341983&quot;:0,&quot;335559739&quot;:160,&quot;335559740&quot;:259}"">&nbsp;</span></p>",Standard Breakout (45 minutes),"Data and Analytics, Learner Engagement, LMS Site Admin and IT Effectiveness","Corporate Learning, Higher Education, K-12",Intermediate,<p><strong>Bethany Simunich</strong><br />Quality Matters</p>
"July 09, 2024",11:35AM - 12:30PM,Grades,206 AB,"In this session, we will see how to set up a gradebook for several different use cases and then delve into what we can do from Grades.",Standard Breakout (45 minutes),"D2L Brightspace Training, D2L Solutions How To's/Tips and Tricks","Association & Training Organizations, Corporate Learning, Higher Education, K-12",Novice,<p><strong>Craig Romanec</strong><br />D2L</p>
"July 09, 2024",11:35 - 11:55AM,Insights to Actions: Using Data Dashboards and Reports to Drive Success,202 CD,"<p>Discover how SIU leverages D2L's Performance+ Insights for enhanced student retention, blending hands-on demos by a D2L administrator with strategic insights from our Teaching Excellence Director. This session will reveal actionable data tactics for boosting student success and meeting accreditation requirements. Learn how to satisfy deans and directors by presenting them with a deep look into student activity in Brightspace courses. We will also discuss the steps we are taking to migrate our data dashboards from the Domo engine to AWS Quicksight, aiming for deeper insights into student engagement and performance.</p>",Lightning Session (20 minutes),Data and Analytics,Higher Education,Intermediate,<p><strong>Abby Razer</strong><br />Southern Illinois University</p><p><strong>Craig Engstrom</strong><br />Southern Illinois University</p><p><strong>JP Dunn</strong><br />Southern Illinois University Carbondale</p>
"July 09, 2024",11:35 - 11:55AM,The Next Generation Virtual Classroom: Bring Your D2L Brightspace Content to Life,205 B,"Join this session to learn how Class was built on Zoom and Microsoft Teams to promote active engagement for online learners, improve completion rates and drive better learning outcomes, through a custom integration with D2L Brightspace. The presentation will feature Kenneth Chapman, D2L who will share more about the partnership and the ways that D2L customers can take advantage of Class, the preferred synchronous learning platform for D2L customers. Class Technologies will then demonstrate Class, the next generation virtual classroom, including the integration with D2L Brightspace. With Class, you can access and deploy D2L Brightspace content, capture completion and grades, and more.",Lightning Session (20 minutes),Online Instruction and Instructor/Trainer Presence,Higher Education,Intermediate,<p><strong>Kenneth Chapman</strong><br />D2L</p><p><strong>Russell Teter</strong><br />Class</p>
"July 09, 2024",11:35 - 11:55AM,Transform the Discussion Tool Into an Asynchronous Instructor-to-Student Communication Platform,205 A,"Instructors typically use the Announcements or Bulletin Board widgets and email to communicate with their students. Learn how Ultimate Medical Academy created a unique configuration involving Brightspace Groups, Categories and the Discussion tool so instructors can communicate with their entire classes or individual students, and how this solution is seamless, efficient and allows data tracking.",Lightning Session (20 minutes),Online Instruction and Instructor/Trainer Presence,Higher Education,Novice,<p><strong>Bill Harlow</strong><br />Ultimate Medical Academy</p><p><strong>Kevan Van Cleave</strong><br />Ultimate Medical Academy</p><p><strong>Manuel Garzon</strong><br />UMA</p><p><strong>Masiha Salma</strong><br />UMA</p>
"July 09, 2024",11:35AM - 12:20PM,Unlocking Insights: Transforming Data into Learning Analytics for Enhanced Learner Engagement,203 AB,"<span class=""TextRun SCXW87525251 BCX0"" lang=""EN-US"" xml:lang=""EN-US"" data-contrast=""none""><span class=""NormalTextRun SCXW87525251 BCX0"">Dive into the wealth of data with Brightspace: Explore the possibilities of meaningful learning analytics for enhanced learner engagement. Join our Learning Analysts for a transformative discussion on uncovering actionable insights from Brightspace Data Sets.&nbsp;</span></span>",Standard Breakout (45 minutes),"D2L Solutions How To's/Tips and Tricks, Data and Analytics, Learner Engagement, LMS Site Admin and IT Effectiveness","Association & Training Organizations, Corporate Learning, Higher Education, K-12",Novice,<p><strong>Ana Kuronen-Shoemaker</strong><br />D2L</p><p><strong>Michel Sandri Lima</strong><br />D2L</p>
"July 09, 2024",11:35AM - 12:20PM,What's Your Problem? Brainstorming With the Creator+ Crew,206 C,"<span class=""NormalTextRun SCXW170235114 BCX0"">Join Creator+ Product Managers for a lively brainstorming session to uncover some of the most common and consistent difficulties we face as we strive to deliver engaging, impactful content. </span><span class=""NormalTextRun SCXW170235114 BCX0"">You'll</span><span class=""NormalTextRun SCXW170235114 BCX0""> have the opportunity to share the problems </span><span class=""NormalTextRun SCXW170235114 BCX0"">you're</span><span class=""NormalTextRun SCXW170235114 BCX0""> still trying to solve, </span><span class=""NormalTextRun SCXW170235114 BCX0"">upvote</span><span class=""NormalTextRun SCXW170235114 BCX0""> problems shared by others</span><span class=""NormalTextRun SCXW170235114 BCX0""> and</span><span class=""NormalTextRun SCXW170235114 BCX0""> help us </span><span class=""NormalTextRun SCXW170235114 BCX0"">determine</span><span class=""NormalTextRun SCXW170235114 BCX0""> how we can help the most because we </span><span class=""NormalTextRun SCXW170235114 BCX0"">haven't</span><span class=""NormalTextRun SCXW170235114 BCX0""> solved all your problems... yet</span><span class=""NormalTextRun SCXW170235114 BCX0"">.</span>",Discussion Forum (45 minutes),Instructional Technology and Design,"Association & Training Organizations, Corporate Learning, Higher Education, K-12",Novice,<p><strong>Erika Finchen</strong><br />D2L</p><p><strong>Kathleen Murphy</strong><br />D2L</p>
"July 09, 2024",12:00 - 12:20PM,Enhancing Educational Outcomes with Conestoga's Data-Driven Tools,202 CD,"Explore Conestoga College's innovative suite, including the Assessment Analysis, Progress Snapshot and What If Calculator tools. These integrated solutions provide real-time insights into student performance, progress tracking, and grade forecasting, empowering instructors and students to make informed decisions for success.",Lightning Session (20 minutes),Data and Analytics,Higher Education,Advanced,<p><strong>Nathan Gardi</strong><br />Conestoga College</p><p><strong>Renato Vaz</strong><br />Conestoga College</p>
"July 09, 2024",12:00 - 12:20PM,Accessibility Options With ReadSpeaker,205 B,"<p><strong> </strong><span data-contrast=""auto"">As textbooks and materials are acquired, accessibility is a high priority. Join us and learn how to:</span><span data-ccp-props=""{}"">&nbsp;</span></p><ul><li data-leveltext=""&#61623;"" data-font=""Symbol"" data-listid=""6"" data-list-defn-props=""{&quot;335552541&quot;:1,&quot;335559683&quot;:0,&quot;335559684&quot;:-2,&quot;335559685&quot;:720,&quot;335559991&quot;:360,&quot;469769226&quot;:&quot;Symbol&quot;,&quot;469769242&quot;:[8226],&quot;469777803&quot;:&quot;left&quot;,&quot;469777804&quot;:&quot;&#61623;&quot;,&quot;469777815&quot;:&quot;hybridMultilevel&quot;}"" aria-setsize=""-1"" data-aria-posinset=""2"" data-aria-level=""1""><span data-contrast=""auto"">use ReadSpeaker's alternative format options</span><span data-ccp-props=""{}"">&nbsp;</span></li><li data-leveltext=""&#61623;"" data-font=""Symbol"" data-listid=""6"" data-list-defn-props=""{&quot;335552541&quot;:1,&quot;335559683&quot;:0,&quot;335559684&quot;:-2,&quot;335559685&quot;:720,&quot;335559991&quot;:360,&quot;469769226&quot;:&quot;Symbol&quot;,&quot;469769242&quot;:[8226],&quot;469777803&quot;:&quot;left&quot;,&quot;469777804&quot;:&quot;&#61623;&quot;,&quot;469777815&quot;:&quot;hybridMultilevel&quot;}"" aria-setsize=""-1"" data-aria-posinset=""3"" data-aria-level=""1""><span data-contrast=""auto"">quickly and easily integrate text to speech</span><span data-ccp-props=""{}"">&nbsp;</span></li><li data-leveltext=""&#61623;"" data-font=""Symbol"" data-listid=""6"" data-list-defn-props=""{&quot;335552541&quot;:1,&quot;335559683&quot;:0,&quot;335559684&quot;:-2,&quot;335559685&quot;:720,&quot;335559991&quot;:360,&quot;469769226&quot;:&quot;Symbol&quot;,&quot;469769242&quot;:[8226],&quot;469777803&quot;:&quot;left&quot;,&quot;469777804&quot;:&quot;&#61623;&quot;,&quot;469777815&quot;:&quot;hybridMultilevel&quot;}"" aria-setsize=""-1"" data-aria-posinset=""4"" data-aria-level=""1""><span data-contrast=""auto"">make most inaccessible textbooks readable</span><span data-ccp-props=""{}"">&nbsp;</span></li><li data-leveltext=""&#61623;"" data-font=""Symbol"" data-listid=""6"" data-list-defn-props=""{&quot;335552541&quot;:1,&quot;335559683&quot;:0,&quot;335559684&quot;:-2,&quot;335559685&quot;:720,&quot;335559991&quot;:360,&quot;469769226&quot;:&quot;Symbol&quot;,&quot;469769242&quot;:[8226],&quot;469777803&quot;:&quot;left&quot;,&quot;469777804&quot;:&quot;&#61623;&quot;,&quot;469777815&quot;:&quot;hybridMultilevel&quot;}"" aria-setsize=""-1"" data-aria-posinset=""5"" data-aria-level=""1""><span data-contrast=""auto"">add voice to legacy PDFs, text images</span><span data-contrast=""auto""> and assessments</span><span data-ccp-props=""{}"">&nbsp;</span></li><li data-leveltext=""&#61623;"" data-font=""Symbol"" data-listid=""6"" data-list-defn-props=""{&quot;335552541&quot;:1,&quot;335559683&quot;:0,&quot;335559684&quot;:-2,&quot;335559685&quot;:720,&quot;335559991&quot;:360,&quot;469769226&quot;:&quot;Symbol&quot;,&quot;469769242&quot;:[8226],&quot;469777803&quot;:&quot;left&quot;,&quot;469777804&quot;:&quot;&#61623;&quot;,&quot;469777815&quot;:&quot;hybridMultilevel&quot;}"" aria-setsize=""-1"" data-aria-posinset=""6"" data-aria-level=""1""><span data-contrast=""auto"">provide a suite of learning tools.</span><span data-ccp-props=""{}"">&nbsp;</span></li></ul>",Lightning Session (20 minutes),Accessibility and Inclusive Learning,Higher Education,Novice,<p><strong>Paul Stisser</strong><br />ReadSpeaker</p>
"July 09, 2024",12:00 - 12:20PM,Creating Culturally Responsive Online Education,205 A,"As society, campuses and communities continue discussions on diversity, equity, inclusion and meeting our students&rsquo; needs, a focus on the adaptable and culturally responsive nature of open educational resources (OER) is key. This session will focus on the creation and curation of resources in establishing a sense of student belonging in online communities.","Fusion On-Demand, Lightning Session (20 minutes)","Diversity, Equity and Inclusion, On-Demand",Higher Education,Novice,<p><strong>Donald Snead</strong><br />Middle Tennessee State University</p><p><strong>Everett Singleton</strong><br />Middle Tennessee State University</p><p><strong>Kim Godwin</strong><br />Middle Tennessee State University</p>
"July 09, 2024",12:20 - 1:20PM,Lunch,105 & 106,,Meals,,,,
"July 09, 2024",1:30 - 2:15PM,7 Brightspace Tools You Didn't Know About (and How They Can Help),104 B,"<span class=""NormalTextRun SCXW132450767 BCX0"">7 Brightspace Tools You Didn't Know About (And How They Can Help)"" will </span><span class=""NormalTextRun SCXW132450767 BCX0"">showcase</span><span class=""NormalTextRun SCXW132450767 BCX0""> commonly overlooked tools within Brightspace and discuss how those tools can increase efficiency. These tools include Awards, Intelligent Agents, Bulk Gradebook Options, Quick Eval, Manage Dates, Accommodations</span><span class=""NormalTextRun SCXW132450767 BCX0""> and</span><span class=""NormalTextRun SCXW132450767 BCX0""> Media Library</span><span class=""NormalTextRun SCXW132450767 BCX0"">.&nbsp;</span>",Standard Breakout (45 minutes),"D2L Solutions How To's/Tips and Tricks, Faculty and Trainer Development, Instructional Technology and Design, Learner Engagement, Online Instruction and Instructor/Trainer Presence",Higher Education,"Advanced, Intermediate, Novice",<p><strong>Kristy Burrough</strong><br />D2L</p><p><strong>Michelle Piper</strong><br />D2L</p>
"July 09, 2024",1:30 - 2:15PM,D2L&rsquo;s Human-Centered Approach to Research and Design of GenerativeAI Solutions,104 D,"<p><span data-contrast=""none"">In this fast-paced environment fueled by the emergence of potentially transformative technology, the user experience team at D2L remains committed to ensuring we keep humans in the loop, not only in our solutions but in our process of designing those solutions.</span><span data-ccp-props=""{&quot;134233117&quot;:false,&quot;134233118&quot;:false,&quot;335559738&quot;:0,&quot;335559739&quot;:0}"">&nbsp;</span></p><p><span data-contrast=""none"">Learn from senior contributors from our UX Research and Design team about how we&rsquo;re keeping the user experience and good pedagogy top of mind, including:&nbsp;</span><span data-ccp-props=""{&quot;134233117&quot;:false,&quot;134233118&quot;:false,&quot;335559738&quot;:0,&quot;335559739&quot;:0}"">&nbsp;</span></p><ul><li data-leveltext=""&#61623;"" data-font=""Symbol"" data-listid=""2"" data-list-defn-props=""{&quot;335552541&quot;:1,&quot;335559685&quot;:720,&quot;335559991&quot;:360,&quot;469769226&quot;:&quot;Symbol&quot;,&quot;469769242&quot;:[8226],&quot;469777803&quot;:&quot;left&quot;,&quot;469777804&quot;:&quot;&#61623;&quot;,&quot;469777815&quot;:&quot;hybridMultilevel&quot;}"" aria-setsize=""-1"" data-aria-posinset=""1"" data-aria-level=""1""><span data-contrast=""none"">becoming experts in GenAI to understand whether real pain points can be effectively addressed with this technology&nbsp;</span><span data-ccp-props=""{&quot;134233117&quot;:false,&quot;134233118&quot;:false,&quot;335559738&quot;:0,&quot;335559739&quot;:0}"">&nbsp;</span></li><li data-leveltext=""&#61623;"" data-font=""Symbol"" data-listid=""2"" data-list-defn-props=""{&quot;335552541&quot;:1,&quot;335559685&quot;:720,&quot;335559991&quot;:360,&quot;469769226&quot;:&quot;Symbol&quot;,&quot;469769242&quot;:[8226],&quot;469777803&quot;:&quot;left&quot;,&quot;469777804&quot;:&quot;&#61623;&quot;,&quot;469777815&quot;:&quot;hybridMultilevel&quot;}"" aria-setsize=""-1"" data-aria-posinset=""2"" data-aria-level=""1""><span data-contrast=""none"">using assumptive designs to accelerate prompt engineering tasks&nbsp;</span><span data-ccp-props=""{&quot;134233117&quot;:false,&quot;134233118&quot;:false,&quot;335559738&quot;:0,&quot;335559739&quot;:0}"">&nbsp;</span></li><li data-leveltext=""&#61623;"" data-font=""Symbol"" data-listid=""2"" data-list-defn-props=""{&quot;335552541&quot;:1,&quot;335559685&quot;:720,&quot;335559991&quot;:360,&quot;469769226&quot;:&quot;Symbol&quot;,&quot;469769242&quot;:[8226],&quot;469777803&quot;:&quot;left&quot;,&quot;469777804&quot;:&quot;&#61623;&quot;,&quot;469777815&quot;:&quot;hybridMultilevel&quot;}"" aria-setsize=""-1"" data-aria-posinset=""3"" data-aria-level=""1""><span data-contrast=""none"">influencing prompt engineering with pedagogical and UX insights</span><span data-ccp-props=""{&quot;134233117&quot;:false,&quot;134233118&quot;:false,&quot;335559738&quot;:0,&quot;335559739&quot;:0}"">&nbsp;</span></li><li data-leveltext=""&#61623;"" data-font=""Symbol"" data-listid=""2"" data-list-defn-props=""{&quot;335552541&quot;:1,&quot;335559685&quot;:720,&quot;335559991&quot;:360,&quot;469769226&quot;:&quot;Symbol&quot;,&quot;469769242&quot;:[8226],&quot;469777803&quot;:&quot;left&quot;,&quot;469777804&quot;:&quot;&#61623;&quot;,&quot;469777815&quot;:&quot;hybridMultilevel&quot;}"" aria-setsize=""-1"" data-aria-posinset=""4"" data-aria-level=""1""><span data-contrast=""none"">designing for transparency and necessary friction to keep humans in the loop</span><span data-ccp-props=""{&quot;134233117&quot;:false,&quot;134233118&quot;:false,&quot;335559738&quot;:0,&quot;335559739&quot;:0}"">&nbsp;</span></li><li data-leveltext=""&#61623;"" data-font=""Symbol"" data-listid=""2"" data-list-defn-props=""{&quot;335552541&quot;:1,&quot;335559685&quot;:720,&quot;335559991&quot;:360,&quot;469769226&quot;:&quot;Symbol&quot;,&quot;469769242&quot;:[8226],&quot;469777803&quot;:&quot;left&quot;,&quot;469777804&quot;:&quot;&#61623;&quot;,&quot;469777815&quot;:&quot;hybridMultilevel&quot;}"" aria-setsize=""-1"" data-aria-posinset=""5"" data-aria-level=""1""><span data-contrast=""none"">combining exploratory research with co-design activities</span><span data-ccp-props=""{&quot;134233117&quot;:false,&quot;134233118&quot;:false,&quot;335559738&quot;:0,&quot;335559739&quot;:0}"">&nbsp;</span></li><li data-leveltext=""&#61623;"" data-font=""Symbol"" data-listid=""2"" data-list-defn-props=""{&quot;335552541&quot;:1,&quot;335559685&quot;:720,&quot;335559991&quot;:360,&quot;469769226&quot;:&quot;Symbol&quot;,&quot;469769242&quot;:[8226],&quot;469777803&quot;:&quot;left&quot;,&quot;469777804&quot;:&quot;&#61623;&quot;,&quot;469777815&quot;:&quot;hybridMultilevel&quot;}"" aria-setsize=""-1"" data-aria-posinset=""6"" data-aria-level=""1""><span data-contrast=""none"">conducting strategic research helps inform vision and direction&nbsp;</span><span data-ccp-props=""{&quot;134233117&quot;:false,&quot;134233118&quot;:false,&quot;335559738&quot;:0,&quot;335559739&quot;:0}"">&nbsp;</span></li><li data-leveltext=""&#61623;"" data-font=""Symbol"" data-listid=""2"" data-list-defn-props=""{&quot;335552541&quot;:1,&quot;335559685&quot;:720,&quot;335559991&quot;:360,&quot;469769226&quot;:&quot;Symbol&quot;,&quot;469769242&quot;:[8226],&quot;469777803&quot;:&quot;left&quot;,&quot;469777804&quot;:&quot;&#61623;&quot;,&quot;469777815&quot;:&quot;hybridMultilevel&quot;}"" aria-setsize=""-1"" data-aria-posinset=""7"" data-aria-level=""1""><span data-contrast=""none"">usability testing while features are in development</span><span data-ccp-props=""{&quot;134233117&quot;:false,&quot;134233118&quot;:false,&quot;335559738&quot;:0,&quot;335559739&quot;:0}"">&nbsp;</span></li><li data-leveltext=""&#61623;"" data-font=""Symbol"" data-listid=""2"" data-list-defn-props=""{&quot;335552541&quot;:1,&quot;335559685&quot;:720,&quot;335559991&quot;:360,&quot;469769226&quot;:&quot;Symbol&quot;,&quot;469769242&quot;:[8226],&quot;469777803&quot;:&quot;left&quot;,&quot;469777804&quot;:&quot;&#61623;&quot;,&quot;469777815&quot;:&quot;hybridMultilevel&quot;}"" aria-setsize=""-1"" data-aria-posinset=""8"" data-aria-level=""1""><span data-contrast=""none"">engaging in user research with beta clients in their Brightspace environments</span><span data-ccp-props=""{&quot;134233117&quot;:false,&quot;134233118&quot;:false,&quot;335559738&quot;:0,&quot;335559739&quot;:0}"">&nbsp;</span></li></ul>",Standard Breakout (45 minutes),AI (Artificial Intelligence),"Association & Training Organizations, Corporate Learning, Higher Education, K-12",Novice,<p><strong>Diana Carreon</strong><br />D2L</p><p><strong>Erin Steed</strong><br />D2L</p><p><strong>Lindsay McCardle</strong><br />D2L</p><p><strong>Nick Pagee</strong><br />D2L</p>
"July 09, 2024",1:30 - 1:50PM,D2Ling the &ldquo;Whole You&rdquo; at NU: Educating Non-Traditional Learners in Non-Traditional Academic Spaces,205 A,"Harmony Academy is currently transitioning to D2L as our LMS. Our institution&rsquo;s unique approach and mission to provide education, credentials and workforce skills in innovative ways may not align with the traditional college student experience. We invite audience participation on ways to captivate and engage our non-traditional learners",Lightning Session (20 minutes),Student/Learner Success,K-12,Intermediate,<p><strong>Christina Partin</strong><br />National University - Harmony Academy</p><p><strong>Lauren Rigby</strong><br />National University</p>
"July 09, 2024",1:30 - 2:15PM,Designing an Escape Room in Brightspace,206 D,"This presentation will look at the benefits of gamification and guide participants through creating an escape room in Brightspace/D2L. In creating the escape room, we will cover such topics as Intelligent Agents, using the Quiz tool, using Release Conditions, fun puzzles and games to incorporate, as well as using AI to help write the narrative and create quiz questions.",Standard Breakout (45 minutes),Learner Engagement,K-12,Advanced,<p><strong>Lynn Thomas</strong><br />Grand Erie DSB</p>
"July 09, 2024",1:30 - 2:15PM,Linking Up: The Bright Side of Data Flows in Brightspace,203 AB,"<span class=""TextRun SCXW82290477 BCX0"" lang=""EN-US"" xml:lang=""EN-US"" data-contrast=""none""><span class=""NormalTextRun SCXW82290477 BCX0"">Discover how D2L Link streamlines data integration within Brightspace and beyond. In this session, </span><span class=""NormalTextRun SCXW82290477 BCX0"">we'll</span><span class=""NormalTextRun SCXW82290477 BCX0""> explore how to seamlessly connect systems, automate </span><span class=""NormalTextRun SCXW82290477 BCX0"">tasks</span><span class=""NormalTextRun SCXW82290477 BCX0""> and</span><span class=""NormalTextRun SCXW82290477 BCX0""> enhance data accuracy, turning complex workflows into smooth operations. Join us for a dive into the brighter side of data management.</span></span>",Standard Breakout (45 minutes),"D2L Solutions How To's/Tips and Tricks, Data and Analytics, Extensibility and Tech Ecosystem Integration","Association & Training Organizations, Corporate Learning, Higher Education, K-12",Intermediate,"<p><strong>David McGeary</strong><br />D2L</p><p><strong>Eric Shotwell</strong><br />D2L, Ltd.</p><p><strong>Josh Vienneau</strong><br />D2L</p><p><strong>Stacy Denunzio</strong><br />D2L</p>"
"July 09, 2024",1:30 - 2:15PM,"Micro-credentials, Macro Impact: Empowering Individuals & Transforming the Workforce.",206 EF,"<p><span data-contrast=""auto"">In this session, we will delve into our distinctive approach, highlighting the deep collaboration with employers, authentic assessment methods, and the use of D2L&rsquo;s LMS to provide a rich learning experience.&nbsp; Our focus extends to connecting competencies demanded by industry, understanding employer requirements, and ensuring assessments reflect real-world competency demonstrations.&nbsp; The incorporations of D2L&rsquo;s LMS enriches the learning journey, offering individuals rigorous opportunities for upskilling and reskilling.&nbsp; The holistic strategy empowers learners to contribute economically and socially, positioning them as valuable contributors in the dynamic professional landscape.</span><span data-ccp-props=""{&quot;201341983&quot;:0,&quot;335559685&quot;:-20,&quot;335559737&quot;:-20,&quot;335559739&quot;:160,&quot;335559740&quot;:279}"">&nbsp;</span></p><p><span data-ccp-props=""{&quot;201341983&quot;:0,&quot;335559685&quot;:-20,&quot;335559737&quot;:-20,&quot;335559739&quot;:160,&quot;335559740&quot;:279}"">&nbsp;</span></p>",Standard Breakout (45 minutes),"Change Management, Personalized Learning",Higher Education,"Advanced, Intermediate, Novice",<p><strong>Michael Crowe</strong><br />Bow Valley College</p><p><strong>Suhayl Patel</strong><br />Bow Valley College</p>
"July 09, 2024",1:30 - 1:50PM,Once Upon a Data: Boosting Engagement and Busting Procrastination in Asynchronous Learning,202 CD,Dive into a tale of transformation where data drives decisions in asynchronous learning. Our journey with D2L Brightspace unveils how nudges and deadlines awaken student engagement. Discover the story behind the data that inspires action and paves the way for simple strategies to combat procrastination.,Lightning Session (20 minutes),Learner Engagement,Higher Education,Novice,<p><strong>Kristina Nelson</strong><br />Mayo Clinic</p><p><strong>Ryan Jimison</strong><br />Mayo Clinic</p>
"July 09, 2024",1:30 - 2:15PM,Strategies for Managing a Changing World of Data(sets),206 C,"In this session, National University will share its current process for how it maintains and monitors both minor and major version changes within the Brightspace Data Sets. We will share the wins and not-quite-winning parts of our process. One of the main goals of this session is to have an open, candid discussion with other institutions and businesses on how we are all working through the regular changes made to tables, modifications to data types, removal of columns, impacts to data lakes and warehouses, ETLs, etc. Another goal is to network and build a community for everyone to reach out to with ideas, changes and processes as we move forward with collective best practices.",Discussion Forum (45 minutes),Data and Analytics,Higher Education,Advanced,<p><strong>Trent Nebelung</strong><br />National University</p>
"July 09, 2024",1:30 - 2:15PM,Training Services Overview,206 AB,"Looking to learn what sort of options exist if you're interested in getting Brightspace Training? This session dives into the three primary services offered which include Brightspace Guided Training, Certificate Training, and Private Training. Learn what each one can provide to your organization and what makes them all unique.",Standard Breakout (45 minutes),D2L Brightspace Training,"Association & Training Organizations, Corporate Learning, Higher Education, K-12",Novice,<p><strong>Dana Knarr</strong><br />D2L</p>
